,(1+p),(1-p),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x+y),(x-n),(x-n*p),(x-y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
296,1.93,0.07,34.74,35.74,25.74,-1.26,-2.26,7.74,37,27,1.26,-1,9,28,1,2.26,10,-9,-7.74,-10,189.848,18,16.74,0.93,170.848,19,9
297,1.62,0.38,9.72,20.72,3.72,-2.28,-13.28,3.72,23,6,2.28,-11,6,17,11,13.28,17,-6,-3.72,-17,29.744,6,3.72,0.62,12.744,17,0
298,1.45,0.55,27.55,13.55,17.55,-10.45,3.55,-0.45,24,28,10.45,14,10,14,-14,-3.55,-4,-10,0.45,4,184.446,19,8.55,0.45,179.446,5,9
299,1.7,0.3,23.8,24.8,19.8,-4.2,-5.2,-0.2,29,24,4.2,-1,4,25,1,5.2,5,-4,0.2,-5,130.158,14,9.8,0.7,115.15799999999999,15,10
300,1.23,0.77,6.15,15.15,11.15,-3.85,-12.85,-8.85,19,15,3.85,-9,-5,24,9,12.85,4,5,8.85,-4,55.518,5,1.15,0.23,41.518,14,10
301,1.82,0.18,10.92,9.92,15.92,-1.08,-0.08,-6.08,11,17,1.08,1,-5,16,-1,0.08,-6,5,6.08,6,34.22,6,4.92,0.82,29.22,5,11
302,1.29,0.71,12.9,13.9,16.9,-7.1,-8.1,-11.1,21,24,7.1,-1,-4,25,1,8.1,-3,4,11.1,3,127.146,10,2.9,0.29,116.146,11,14
303,1.73,0.27,25.95,16.95,27.95,-4.05,4.95,-6.05,21,32,4.05,9,-2,23,-9,-4.95,-11,2,6.05,11,163.272,15,10.95,0.73,157.272,6,17
304,1.29,0.71,25.8,13.8,14.8,-14.2,-2.2,-3.2,28,29,14.2,12,11,17,-12,2.2,-1,-11,3.2,1,196.242,20,5.8,0.29,188.242,8,9
305,1.12,0.88,11.2,11.2,19.2,-8.8,-8.8,-16.8,20,28,8.8,0,-8,28,0,8.8,-8,8,16.8,8,174.728,10,1.2,0.12,164.728,10,18
306,1.13,0.87,3.39,2.39,6.39,-2.61,-1.61,-5.61,5,9,2.61,1,-3,8,-1,1.61,-4,3,5.61,4,18.378,3,0.39,0.13,16.378,2,6
307,1.21,0.79,9.68,5.68,6.68,-6.32,-2.32,-3.32,12,13,6.32,4,3,9,-4,2.32,-1,-3,3.32,1,43.036,8,1.68,0.21,39.036,4,5
308,1.83,0.17,23.79,21.79,11.79,-2.21,-0.21,9.79,24,14,2.21,2,12,12,-2,0.21,10,-12,-9.79,-10,88.41,13,10.79,0.83,77.41,11,1
309,1.62,0.38,29.16,18.16,11.16,-6.84,4.16,11.16,25,18,6.84,11,18,7,-11,-4.16,7,-18,-11.16,-7,109.942,18,11.16,0.62,102.942,7,0
310,1.18,0.82,12.98,11.98,21.98,-9.02,-8.02,-18.02,21,31,9.02,1,-9,30,-1,8.02,-10,9,18.02,10,201.636,11,1.98,0.18,191.636,10,20
311,1.27,0.73,8.89,6.89,5.89,-5.11,-3.11,-2.11,12,11,5.11,2,3,9,-2,3.11,1,-3,2.11,-1,33.048,7,1.89,0.27,28.048000000000002,5,4
312,1.69,0.31,21.97,19.97,15.97,-4.03,-2.03,1.97,24,20,4.03,2,6,18,-2,2.03,4,-6,-1.97,-4,101.726,13,8.97,0.69,90.726,11,7
313,1.1,0.9,12.1,2.1,20.1,-9.9,0.1,-17.9,12,30,9.9,10,-8,20,-10,-0.1,-18,8,17.9,18,195.894,11,1.1,0.1,194.894,1,19
314,1.95,0.05,25.35,31.35,29.35,-0.65,-6.65,-4.65,32,30,0.65,-6,-4,36,6,6.65,2,4,4.65,-2,116.384,13,12.35,0.95,97.384,19,17
315,1.87,0.13,3.74,16.74,12.74,-0.26,-13.26,-9.26,17,13,0.26,-13,-9,26,13,13.26,4,9,9.26,-4,20.618,2,1.74,0.87,5.6179999999999986,15,11
316,1.13,0.87,13.56,12.56,2.56,-10.44,-9.44,0.56,23,13,10.44,1,11,12,-1,9.44,10,-11,-0.56,-10,31.4,12,1.56,0.13,20.4,11,1
317,1.44,0.56,5.76,3.76,19.76,-2.24,-0.24,-16.24,6,22,2.24,2,-14,20,-2,0.24,-16,14,16.24,16,46.842,4,1.76,0.44,44.842,2,18
318,1.68,0.32,28.56,11.56,14.56,-5.44,11.56,8.56,17,20,5.44,17,14,3,-17,-11.56,-3,-14,-8.56,3,120.086,17,11.56,0.68,120.086,0,3
319,1.86,0.14,22.32,30.32,15.32,-1.68,-9.68,5.32,32,17,1.68,-8,7,25,8,9.68,15,-7,-5.32,-15,95.458,12,10.32,0.86,75.458,20,5
320,1.6,0.4,27.2,30.2,25.2,-6.8,-9.8,-4.8,37,32,6.8,-3,2,35,3,9.8,5,-2,4.8,-5,213.466,17,10.2,0.6,193.466,20,15
321,1.19,0.81,23.8,15.8,11.8,-16.2,-8.2,-4.2,32,28,16.2,8,12,20,-8,8.2,4,-12,4.2,-4,181.132,20,3.8,0.19,169.132,12,8
322,1.54,0.46,29.26,12.26,29.26,-8.74,8.26,-8.74,21,38,8.74,17,0,21,-17,-8.26,-17,0,8.74,17,268.558,19,10.26,0.54,266.558,2,19
323,1.94,0.06,13.58,25.58,8.58,-0.42,-12.42,4.58,26,9,0.42,-12,5,21,12,12.42,17,-5,-4.58,-17,46.014,7,6.58,0.94,27.014000000000003,19,2
324,1.65,0.35,28.05,28.05,28.05,-5.95,-5.95,-5.95,34,34,5.95,0,0,34,0,5.95,0,0,5.95,0,215.562,17,11.05,0.65,198.562,17,17
325,1.4,0.6,14.0,20.0,8.0,-6.0,-12.0,0.0,26,14,6.0,-6,6,20,6,12.0,12,-6,0.0,-12,62.138,10,4.0,0.4,46.138,16,4
326,1.9,0.1,9.5,6.5,14.5,-0.5,2.5,-5.5,7,15,0.5,3,-5,12,-3,-2.5,-8,5,5.5,8,20.258,5,4.5,0.9,18.258,2,10
327,1.35,0.65,27.0,20.0,15.0,-13.0,-6.0,-1.0,33,28,13.0,7,12,21,-7,6.0,5,-12,1.0,-5,190.668,20,7.0,0.35,177.668,13,8
328,1.16,0.84,20.88,21.88,9.88,-15.12,-16.12,-4.12,37,25,15.12,-1,11,26,1,16.12,12,-11,4.12,-12,152.346,18,2.88,0.16,133.346,19,7
329,1.42,0.58,24.14,11.14,15.14,-9.86,3.14,-0.86,21,25,9.86,13,9,12,-13,-3.14,-4,-9,0.86,4,147.544,17,7.14,0.42,143.544,4,8
330,1.71,0.29,8.55,19.55,19.55,-1.45,-12.45,-12.45,21,21,1.45,-11,-11,32,11,12.45,0,11,12.45,0,50.012,5,3.55,0.71,34.012,16,16
331,1.69,0.31,6.76,3.76,13.76,-1.24,1.76,-8.24,5,15,1.24,3,-7,12,-3,-1.76,-10,7,8.24,10,22.09,4,2.76,0.69,21.09,1,11
332,1.53,0.47,19.89,11.89,7.89,-6.11,1.89,5.89,18,14,6.11,8,12,6,-8,-1.89,4,-12,-5.89,-4,59.384,13,6.89,0.53,54.384,5,1
333,1.25,0.75,5.0,3.0,17.0,-3.0,-1.0,-15.0,6,20,3.0,2,-12,18,-2,1.0,-14,12,15.0,14,52.304,4,1.0,0.25,50.304,2,16
334,1.52,0.48,27.36,25.36,23.36,-8.64,-6.64,-4.64,34,32,8.64,2,4,30,-2,6.64,2,-4,4.64,-2,225.552,18,9.36,0.52,209.552,16,14
335,1.38,0.62,11.04,20.04,19.04,-4.96,-13.96,-12.96,25,24,4.96,-9,-8,33,9,13.96,1,8,12.96,-1,109.248,8,3.04,0.38,92.248,17,16
336,1.77,0.23,31.86,26.86,24.86,-4.14,0.86,2.86,31,29,4.14,5,7,24,-5,-0.86,2,-7,-2.86,-2,190.484,18,13.86,0.77,177.484,13,11
337,1.54,0.46,18.48,7.48,18.48,-5.52,5.48,-5.52,13,24,5.52,11,0,13,-11,-5.48,-11,0,5.52,11,109.578,12,6.48,0.54,108.578,1,12
338,1.64,0.36,26.24,23.24,17.24,-5.76,-2.76,3.24,29,23,5.76,3,9,20,-3,2.76,6,-9,-3.24,-6,140.94,16,10.24,0.64,127.94,13,7
339,1.6,0.4,4.8,17.8,3.8,-1.2,-14.2,-0.2,19,5,1.2,-13,1,18,13,14.2,14,-1,0.2,-14,21.984,3,1.8,0.6,5.984000000000002,16,2
340,1.24,0.76,19.84,22.84,11.84,-12.16,-15.16,-4.16,35,24,12.16,-3,8,27,3,15.16,11,-8,4.16,-11,148.192,16,3.84,0.24,129.192,19,8
341,1.5,0.5,28.5,20.5,27.5,-9.5,-1.5,-8.5,30,37,9.5,8,1,29,-8,1.5,-7,-1,8.5,7,275.79,19,9.5,0.5,264.79,11,18
342,1.62,0.38,9.72,16.72,20.72,-2.28,-9.28,-13.28,19,23,2.28,-7,-11,30,7,9.28,-4,11,13.28,4,63.396,6,3.72,0.62,50.396,13,17
343,1.41,0.59,19.74,15.74,17.74,-8.26,-4.26,-6.26,24,26,8.26,4,2,22,-4,4.26,-2,-2,6.26,2,152.306,14,5.74,0.41,142.306,10,12
344,1.06,0.94,6.36,17.36,2.36,-5.64,-16.64,-1.64,23,8,5.64,-11,4,19,11,16.64,15,-4,1.64,-15,29.614,6,0.36,0.06,12.614,17,2
345,1.84,0.16,22.08,24.08,14.08,-1.92,-3.92,6.08,26,16,1.92,-2,8,18,2,3.92,10,-8,-6.08,-10,87.198,12,10.08,0.84,73.198,14,4
346,1.05,0.95,1.05,10.05,15.05,-0.95,-9.95,-14.95,11,16,0.95,-9,-14,25,9,9.95,-5,14,14.95,5,24.328,1,0.05,0.05,14.328,10,15
347,1.16,0.84,2.32,9.32,7.32,-1.68,-8.68,-6.68,11,9,1.68,-7,-5,16,7,8.68,2,5,6.68,-2,21.292,2,0.32,0.16,12.292000000000002,9,7
348,1.78,0.22,14.24,23.24,11.24,-1.76,-10.76,1.24,25,13,1.76,-9,3,22,9,10.76,12,-3,-1.24,-12,53.856,8,6.24,0.78,36.856,17,5
349,1.76,0.24,14.08,21.08,14.08,-1.92,-8.92,-1.92,23,16,1.92,-7,0,23,7,8.92,7,0,1.92,-7,58.0,8,6.08,0.76,43.0,15,8
350,1.5,0.5,30.0,24.0,17.0,-10.0,-4.0,3.0,34,27,10.0,6,13,21,-6,4.0,7,-13,-3.0,-7,189.294,20,10.0,0.5,175.294,14,7
351,1.91,0.09,34.38,35.38,18.38,-1.62,-2.62,14.38,37,20,1.62,-1,16,21,1,2.62,17,-16,-14.38,-17,178.202,18,16.38,0.91,159.202,19,2
352,1.94,0.06,13.58,23.58,11.58,-0.42,-10.42,1.58,24,12,0.42,-10,2,22,10,10.42,12,-2,-1.58,-12,45.492,7,6.58,0.94,28.491999999999997,17,5
353,1.7,0.3,34.0,18.0,33.0,-6.0,10.0,-5.0,24,39,6.0,16,1,23,-16,-10.0,-15,-1,5.0,15,265.878,20,14.0,0.7,261.878,4,19
354,1.72,0.28,6.88,18.88,6.88,-1.12,-13.12,-1.12,20,8,1.12,-12,0,20,12,13.12,12,0,1.12,-12,27.71,4,2.88,0.72,11.71,16,4
355,1.22,0.78,9.76,18.76,16.76,-6.24,-15.24,-13.24,25,23,6.24,-9,-7,32,9,15.24,2,7,13.24,-2,118.412,8,1.76,0.22,101.412,17,15
356,1.28,0.72,5.12,7.12,20.12,-2.88,-4.88,-17.88,10,23,2.88,-2,-15,25,2,4.88,-13,15,17.88,13,63.504,4,1.12,0.28,57.504,6,19
357,1.91,0.09,32.47,27.47,20.47,-1.53,3.47,10.47,29,22,1.53,5,12,17,-5,-3.47,7,-12,-10.47,-7,158.726,17,15.47,0.91,146.726,12,5
358,1.75,0.25,12.25,20.25,21.25,-1.75,-9.75,-10.75,22,23,1.75,-8,-9,31,8,9.75,-1,9,10.75,1,64.234,7,5.25,0.75,49.233999999999995,15,16
359,1.75,0.25,1.75,13.75,14.75,-0.25,-12.25,-13.25,14,15,0.25,-12,-13,27,12,12.25,-1,13,13.25,1,17.536,1,0.75,0.75,4.536000000000001,13,14
360,1.27,0.73,16.51,21.51,8.51,-9.49,-14.49,-1.49,31,18,9.49,-5,8,23,5,14.49,13,-8,1.49,-13,90.152,13,3.51,0.27,72.152,18,5
361,1.36,0.64,23.12,22.12,23.12,-10.88,-9.88,-10.88,33,34,10.88,1,0,33,-1,9.88,-1,0,10.88,1,255.08,17,6.12,0.36,239.08,16,17
362,1.45,0.55,8.7,22.7,12.7,-3.3,-17.3,-7.3,26,16,3.3,-14,-4,30,14,17.3,10,4,7.3,-10,63.144,6,2.7,0.45,43.144,20,10
363,1.36,0.64,25.84,22.84,13.84,-12.16,-9.16,-0.16,35,26,12.16,3,12,23,-3,9.16,9,-12,0.16,-9,169.45,19,6.84,0.36,153.45,16,7
364,1.75,0.25,5.25,16.25,16.25,-0.75,-11.75,-11.75,17,17,0.75,-11,-11,28,11,11.75,0,11,11.75,0,28.726,3,2.25,0.75,14.725999999999999,14,14
365,1.5,0.5,13.5,23.5,4.5,-4.5,-14.5,4.5,28,9,4.5,-10,9,19,10,14.5,19,-9,-4.5,-19,41.392,9,4.5,0.5,22.392000000000003,19,0
366,1.38,0.62,27.6,12.6,8.6,-12.4,2.6,6.6,25,21,12.4,15,19,6,-15,-2.6,4,-19,-6.6,-4,96.3,20,7.6,0.38,91.3,5,1
367,1.54,0.46,10.78,5.78,14.78,-3.22,1.78,-7.22,9,18,3.22,5,-4,13,-5,-1.78,-9,4,7.22,9,52.518,7,3.78,0.54,50.518,2,11
368,1.16,0.84,22.04,23.04,11.04,-15.96,-16.96,-4.96,39,27,15.96,-1,11,28,1,16.96,12,-11,4.96,-12,177.698,19,3.04,0.16,157.698,20,8
369,1.64,0.36,24.6,21.6,15.6,-5.4,-2.4,3.6,27,21,5.4,3,9,18,-3,2.4,6,-9,-3.6,-6,122.332,15,9.6,0.64,110.332,12,6
370,1.09,0.91,17.44,6.44,17.44,-14.56,-3.56,-14.56,21,32,14.56,11,0,21,-11,3.56,-11,0,14.56,11,250.136,16,1.44,0.09,245.136,5,16
371,1.68,0.32,30.24,15.24,30.24,-5.76,9.24,-5.76,21,36,5.76,15,0,21,-15,-9.24,-15,0,5.76,15,223.576,18,12.24,0.68,220.576,3,18
372,1.63,0.37,24.45,12.45,26.45,-5.55,6.45,-7.55,18,32,5.55,12,-2,20,-12,-6.45,-14,2,7.55,14,172.078,15,9.45,0.63,169.078,3,17
373,1.65,0.35,29.7,13.7,11.7,-6.3,9.7,11.7,20,18,6.3,16,18,2,-16,-9.7,2,-18,-11.7,-2,114.27,18,11.7,0.65,112.27,2,0
374,1.76,0.24,26.4,12.4,18.4,-3.6,10.4,4.4,16,22,3.6,14,8,8,-14,-10.4,-6,-8,-4.4,6,116.992,15,11.4,0.76,115.992,1,7
375,1.87,0.13,22.44,19.44,22.44,-1.56,1.44,-1.56,21,24,1.56,3,0,21,-3,-1.44,-3,0,1.56,3,95.6,12,10.44,0.87,86.6,9,12
376,1.16,0.84,10.44,21.44,14.44,-7.56,-18.56,-11.56,29,22,7.56,-11,-4,33,11,18.56,7,4,11.56,-7,124.718,9,1.44,0.16,104.718,20,13
377,1.86,0.14,14.88,14.88,16.88,-1.12,-1.12,-3.12,16,18,1.12,0,-2,18,0,1.12,-2,2,3.12,2,50.37,8,6.88,0.86,42.37,8,10
378,1.25,0.75,8.75,16.75,16.75,-5.25,-13.25,-13.25,22,22,5.25,-8,-8,30,8,13.25,0,8,13.25,0,101.206,7,1.75,0.25,86.206,15,15
379,1.61,0.39,8.05,4.05,13.05,-1.95,2.05,-6.95,6,15,1.95,4,-5,11,-4,-2.05,-9,5,6.95,9,29.95,5,3.05,0.61,28.95,1,10
380,1.91,0.09,1.91,7.91,17.91,-0.09,-6.09,-16.09,8,18,0.09,-6,-16,24,6,6.09,-10,16,16.09,10,9.664,1,0.91,0.91,2.6639999999999997,7,17
381,1.67,0.33,26.72,27.72,23.72,-5.28,-6.28,-2.28,33,29,5.28,-1,3,30,1,6.28,4,-3,2.28,-4,176.772,16,10.72,0.67,159.772,17,13
382,1.12,0.88,13.44,10.44,2.44,-10.56,-7.56,0.44,21,13,10.56,3,11,10,-3,7.56,8,-11,-0.44,-8,28.83,12,1.44,0.12,19.83,9,1
383,1.63,0.37,13.04,6.04,19.04,-2.96,4.04,-8.96,9,22,2.96,7,-6,15,-7,-4.04,-13,6,8.96,13,64.568,8,5.04,0.63,63.568,1,14
384,1.65,0.35,9.9,17.9,17.9,-2.1,-10.1,-10.1,20,20,2.1,-8,-8,28,8,10.1,0,8,10.1,0,57.544,6,3.9,0.65,43.544,14,14
385,1.45,0.55,10.15,21.15,20.15,-3.85,-14.85,-13.85,25,24,3.85,-11,-10,35,11,14.85,1,10,13.85,-1,95.858,7,3.15,0.45,77.858,18,17
386,1.59,0.41,15.9,20.9,11.9,-4.1,-9.1,-0.1,25,16,4.1,-5,4,21,5,9.1,9,-4,0.1,-9,72.124,10,5.9,0.59,57.123999999999995,15,6
387,1.75,0.25,10.5,19.5,20.5,-1.5,-10.5,-11.5,21,22,1.5,-9,-10,31,9,10.5,-1,10,11.5,1,54.396,6,4.5,0.75,39.396,15,16
388,1.15,0.85,11.5,21.5,10.5,-8.5,-18.5,-7.5,30,19,8.5,-10,1,29,10,18.5,11,-1,7.5,-11,104.438,10,1.5,0.15,84.438,20,9
389,1.36,0.64,5.44,15.44,11.44,-2.56,-12.56,-8.56,18,14,2.56,-10,-6,24,10,12.56,4,6,8.56,-4,43.164,4,1.44,0.36,29.164,14,10
390,1.28,0.72,24.32,24.32,10.32,-13.68,-13.68,0.32,38,24,13.68,0,14,24,0,13.68,14,-14,-0.32,-14,139.936,19,5.32,0.28,120.936,19,5
391,1.54,0.46,13.86,24.86,7.86,-4.14,-15.14,1.86,29,12,4.14,-11,6,23,11,15.14,17,-6,-1.86,-17,56.87,9,4.86,0.54,36.87,20,3
392,1.39,0.61,2.78,11.78,6.78,-1.22,-10.22,-5.22,13,8,1.22,-9,-4,17,9,10.22,5,4,5.22,-5,19.722,2,0.78,0.39,8.722000000000001,11,6
393,1.93,0.07,25.09,32.09,28.09,-0.91,-7.91,-3.91,33,29,0.91,-7,-3,36,7,7.91,4,3,3.91,-4,120.04,13,12.09,0.93,100.04,20,16
394,1.83,0.17,20.13,20.13,21.13,-1.87,-1.87,-2.87,22,23,1.87,0,-1,23,0,1.87,-1,1,2.87,1,88.35,11,9.13,0.83,77.35,11,12
395,1.59,0.41,23.85,27.85,18.85,-6.15,-10.15,-1.15,34,25,6.15,-4,5,29,4,10.15,9,-5,1.15,-9,151.172,15,8.85,0.59,132.172,19,10
396,1.66,0.34,26.56,26.56,28.56,-5.44,-5.44,-7.44,32,34,5.44,0,-2,34,0,5.44,-2,2,7.44,2,204.228,16,10.56,0.66,188.228,16,18
397,1.84,0.16,5.52,15.52,22.52,-0.48,-10.48,-17.48,16,23,0.48,-10,-17,33,10,10.48,-7,17,17.48,7,27.416,3,2.52,0.84,14.416,13,20
398,1.05,0.95,3.15,4.15,16.15,-2.85,-3.85,-15.85,7,19,2.85,-1,-13,20,1,3.85,-12,13,15.85,12,49.902,3,0.15,0.05,45.902,4,16
399,1.87,0.13,7.48,10.48,16.48,-0.52,-3.52,-9.52,11,17,0.52,-3,-9,20,3,3.52,-6,9,9.52,6,21.552,4,3.48,0.87,14.552,7,13
400,1.46,0.54,20.44,16.44,12.44,-7.56,-3.56,0.44,24,20,7.56,4,8,16,-4,3.56,4,-8,-0.44,-4,103.41,14,6.44,0.46,93.41,10,6
401,1.14,0.86,13.68,12.68,1.68,-10.32,-9.32,1.68,23,12,10.32,1,12,11,-1,9.32,11,-12,-1.68,-11,21.972,12,1.68,0.14,10.972000000000001,11,0
402,1.22,0.78,7.32,21.32,2.32,-4.68,-18.68,0.32,26,7,4.68,-14,5,21,14,18.68,19,-5,-0.32,-19,29.258,6,1.32,0.22,9.258,20,1
403,1.76,0.24,10.56,12.56,13.56,-1.44,-3.44,-4.44,14,15,1.44,-2,-3,17,2,3.44,-1,3,4.44,1,37.146,6,4.56,0.76,29.146,8,9
404,1.67,0.33,20.04,21.04,22.04,-3.96,-4.96,-5.96,25,26,3.96,-1,-2,27,1,4.96,-1,2,5.96,1,119.894,12,8.04,0.67,106.894,13,14
405,1.88,0.12,28.2,18.2,22.2,-1.8,8.2,4.2,20,24,1.8,10,6,14,-10,-8.2,-4,-6,-4.2,4,126.946,15,13.2,0.88,121.946,5,9
406,1.49,0.51,8.94,19.94,11.94,-3.06,-14.06,-6.06,23,15,3.06,-11,-3,26,11,14.06,8,3,6.06,-8,55.236,6,2.94,0.49,38.236,17,9
407,1.77,0.23,24.78,19.78,25.78,-3.22,1.78,-4.22,23,29,3.22,5,-1,24,-5,-1.78,-6,1,4.22,6,138.334,14,10.78,0.77,129.334,9,15
408,1.13,0.87,20.34,11.34,3.34,-15.66,-6.66,1.34,27,19,15.66,9,17,10,-9,6.66,8,-17,-1.34,-8,47.614,18,2.34,0.13,38.614,9,1
409,1.93,0.07,30.88,24.88,17.88,-1.12,4.88,11.88,26,19,1.12,6,13,13,-6,-4.88,7,-13,-11.88,-7,139.888,16,14.88,0.93,129.888,10,3
410,1.2,0.8,24.0,9.0,23.0,-16.0,-1.0,-15.0,25,39,16.0,15,1,24,-15,1.0,-14,-1,15.0,14,348.998,20,4.0,0.2,343.998,5,19
411,1.13,0.87,4.52,8.52,1.52,-3.48,-7.48,-0.48,12,5,3.48,-4,3,9,4,7.48,7,-3,0.48,-7,12.662,4,0.52,0.13,4.662000000000001,8,1
412,1.58,0.42,20.54,26.54,18.54,-5.46,-11.46,-3.46,32,24,5.46,-6,2,30,6,11.46,8,-2,3.46,-8,132.64,13,7.54,0.58,113.63999999999999,19,11
413,1.78,0.22,14.24,12.24,22.24,-1.76,0.24,-9.76,14,24,1.76,2,-8,22,-2,-0.24,-10,8,9.76,10,61.844,8,6.24,0.78,55.844,6,16
414,1.75,0.25,15.75,22.75,18.75,-2.25,-9.25,-5.25,25,21,2.25,-7,-3,28,7,9.25,4,3,5.25,-4,77.102,9,6.75,0.75,61.102000000000004,16,12
415,1.48,0.52,1.48,12.48,7.48,-0.52,-11.52,-6.52,13,8,0.52,-11,-6,19,11,11.52,5,6,6.52,-5,16.168,1,0.48,0.48,4.167999999999999,12,7
416,1.45,0.55,4.35,11.35,18.35,-1.65,-8.65,-15.65,13,20,1.65,-7,-14,27,7,8.65,-7,14,15.65,7,40.124,3,1.35,0.45,30.124000000000002,10,17
417,1.91,0.09,3.82,9.82,1.82,-0.18,-6.18,1.82,10,2,0.18,-6,2,8,6,6.18,8,-2,-1.82,-8,10.708,2,1.82,0.91,2.708,8,0
418,1.71,0.29,6.84,12.84,5.84,-1.16,-7.16,-0.16,14,7,1.16,-6,1,13,6,7.16,7,-1,0.16,-7,20.554,4,2.84,0.71,10.553999999999998,10,3
419,1.81,0.19,12.67,21.67,5.67,-1.33,-10.33,5.67,23,7,1.33,-9,7,16,9,10.33,16,-7,-5.67,-16,38.778,7,5.67,0.81,22.778,16,0
420,1.28,0.72,1.28,15.28,16.28,-0.72,-14.72,-15.72,16,17,0.72,-14,-15,31,14,14.72,-1,15,15.72,1,27.1,1,0.28,0.28,12.100000000000001,15,16
421,1.15,0.85,9.2,14.2,14.2,-6.8,-11.8,-11.8,21,21,6.8,-5,-5,26,5,11.8,0,5,11.8,0,107.19,8,1.2,0.15,94.19,13,13
422,1.2,0.8,4.8,17.8,10.8,-3.2,-16.2,-9.2,21,14,3.2,-13,-6,27,13,16.2,7,6,9.2,-7,51.204,4,0.8,0.2,34.204,17,10
423,1.69,0.31,21.97,23.97,17.97,-4.03,-6.03,-0.03,28,22,4.03,-2,4,24,2,6.03,6,-4,0.03,-6,114.212,13,8.97,0.69,99.212,15,9
424,1.56,0.44,10.92,9.92,9.92,-3.08,-2.08,-2.08,13,13,3.08,1,1,12,-1,2.08,0,-1,2.08,0,40.16,7,3.92,0.56,34.16,6,6
425,1.77,0.23,31.86,33.86,32.86,-4.14,-6.14,-5.14,38,37,4.14,-2,-1,39,2,6.14,1,1,5.14,-1,229.008,18,13.86,0.77,209.008,20,19
426,1.35,0.65,21.6,22.6,8.6,-10.4,-11.4,2.6,33,19,10.4,-1,13,20,1,11.4,14,-13,-2.6,-14,95.724,16,5.6,0.35,78.724,17,3
427,1.4,0.6,19.6,7.6,19.6,-8.4,3.6,-8.4,16,28,8.4,12,0,16,-12,-3.6,-12,0,8.4,12,162.032,14,5.6,0.4,160.032,2,14
428,1.6,0.4,6.4,6.4,9.4,-1.6,-1.6,-4.6,8,11,1.6,0,-3,11,0,1.6,-3,3,4.6,3,21.328,4,2.4,0.6,17.328,4,7
429,1.17,0.83,5.85,13.85,4.85,-4.15,-12.15,-3.15,18,9,4.15,-8,1,17,8,12.15,9,-1,3.15,-9,32.202,5,0.85,0.17,19.201999999999998,13,4
430,1.2,0.8,13.2,3.2,22.2,-8.8,1.2,-17.8,12,31,8.8,10,-9,21,-10,-1.2,-19,9,17.8,19,189.064,11,2.2,0.2,188.064,1,20
431,1.81,0.19,25.34,13.34,29.34,-2.66,9.34,-6.66,16,32,2.66,12,-4,20,-12,-9.34,-16,4,6.66,16,134.864,14,11.34,0.81,132.864,2,18
432,1.76,0.24,31.68,23.68,33.68,-4.32,3.68,-6.32,28,38,4.32,8,-2,30,-8,-3.68,-10,2,6.32,10,227.864,18,13.68,0.76,217.864,10,20
433,1.12,0.88,4.48,5.48,14.48,-3.52,-4.52,-13.52,9,18,3.52,-1,-10,19,1,4.52,-9,10,13.52,9,55.638,4,0.48,0.12,50.638,5,14
434,1.54,0.46,20.02,9.02,22.02,-5.98,5.02,-7.98,15,28,5.98,11,-2,17,-11,-5.02,-13,2,7.98,13,140.584,13,7.02,0.54,138.584,2,15
435,1.7,0.3,32.3,18.3,19.3,-5.7,8.3,7.3,24,25,5.7,14,13,11,-14,-8.3,-1,-13,-7.3,1,171.684,19,13.3,0.7,166.684,5,6
436,1.16,0.84,18.56,6.56,13.56,-13.44,-1.44,-8.44,20,27,13.44,12,5,15,-12,1.44,-7,-5,8.44,7,172.698,16,2.56,0.16,168.698,4,11
437,1.29,0.71,7.74,15.74,16.74,-4.26,-12.26,-13.26,20,21,4.26,-8,-9,29,8,12.26,-1,9,13.26,1,84.026,6,1.74,0.29,70.026,14,15
438,1.88,0.12,9.4,7.4,19.4,-0.6,1.4,-10.6,8,20,0.6,2,-10,18,-2,-1.4,-12,10,10.6,12,25.446,5,4.4,0.88,22.446,3,15
439,1.64,0.36,14.76,21.76,5.76,-3.24,-10.24,5.76,25,9,3.24,-7,9,16,7,10.24,16,-9,-5.76,-16,45.102,9,5.76,0.64,29.101999999999997,16,0
440,1.08,0.92,9.72,19.72,8.72,-8.28,-18.28,-7.28,28,17,8.28,-10,1,27,10,18.28,11,-1,7.28,-11,89.026,9,0.72,0.08,70.026,19,8
441,1.41,0.59,12.69,10.69,17.69,-5.31,-3.31,-10.31,16,23,5.31,2,-5,21,-2,3.31,-7,5,10.31,7,99.804,9,3.69,0.41,92.804,7,14
442,1.7,0.3,22.1,24.1,10.1,-3.9,-5.9,8.1,28,14,3.9,-2,12,16,2,5.9,14,-12,-8.1,-14,82.938,13,9.1,0.7,67.938,15,1
443,1.84,0.16,33.12,28.12,22.12,-2.88,2.12,8.12,31,25,2.88,5,11,20,-5,-2.12,6,-11,-8.12,-6,177.336,18,15.12,0.84,164.336,13,7
444,1.49,0.51,22.35,22.35,10.35,-7.65,-7.65,4.35,30,18,7.65,0,12,18,0,7.65,12,-12,-4.35,-12,97.092,15,7.35,0.49,82.092,15,3
